,id_A,wc_A,feature_A,us_weld_dist_A,wt_A,depth_A,length_A,width_A,orientation_A,pressure_1_A,pressure_2_A,joint_length_A,lat_A,lng_A,comments_A,us_weld_id_A,us_weld_dist_coord_A,us_weld_dist_wc_A,h_dist_A,orientation_x_A,orientation_y_A,id_B,wc_B,feature_B,us_weld_dist_B,wt_B,depth_B,length_B,width_B,orientation_B,pressure_1_B,pressure_2_B,joint_length_B,lat_B,lng_B,comments_B,us_weld_id_B,us_weld_dist_coord_B,us_weld_dist_wc_B,h_dist_B,orientation_x_B,orientation_y_B,pipe_section,section_sequence
1315,13260,57248.918,WELD,,0.219,,,,,,,44.966999999996915,32.44102627,-104.14415371,,13260.0,0.0,0.0,284.23058362233866,,,13260,57629.408,WELD,,0.219,,,,,,,45.211999999999534,32.44102627,-104.14415371,,13260.0,0.0,0.0,284.23058362233866,,,1315,200
1316,13270,57293.885,WELD,,0.219,,,,,,,44.96700000000419,32.441143,-104.14420286,,13270.0,0.0,0.0,284.244333752633,,,13270,57674.621,WELD,,0.219,,,,,,,45.2129999999961,32.441143,-104.14420286,,13270.0,0.0,0.0,284.244333752633,,,1316,200
1317,13280,57338.852,WELD,,0.219,,,,,,,44.966999999996915,32.44125967,-104.14425224,,13280.0,0.0,0.0,284.25808617490975,,,13280,57719.839,WELD,,0.219,,,,,,,45.21800000000076,32.44125967,-104.14425224,,13280.0,0.0,0.0,284.25808617490975,,,1317,200
1318,13290,57383.809,WELD,,0.219,,,,,,,44.957000000002154,32.44137622,-104.14430184,,13290.0,0.0,0.0,284.27183438098854,,,13290,57765.042,WELD,,0.219,,,,,,,45.20300000000134,32.44137622,-104.14430184,,13290.0,0.0,0.0,284.27183438098854,,,1318,200
1319,13300,57428.765,WELD,,0.219,,,,,,,44.95599999999831,32.44149271,-104.14435164,,13300.0,0.0,0.0,284.2855837786417,,,13300,57810.275,WELD,,0.219,,,,,,,45.233000000000175,32.44149271,-104.14435164,,13300.0,0.0,0.0,284.2855837786417,,,1319,200
1320,13310,57473.743,WELD,,0.219,,,,,,,44.978000000002794,32.44160911,-104.14440199,,13310.0,0.0,0.0,284.29934413054195,,,13310,57855.487,WELD,,0.219,,,,,,,45.211999999999534,32.44160911,-104.14440199,,13310.0,0.0,0.0,284.29934413054195,,,1320,200
1321,13320,57518.7,WELD,,0.219,,,,,,,44.95699999999488,32.4417255,-104.14445211,,13320.0,0.0,0.0,284.3130950245433,,,13320,57900.695,WELD,,0.219,,,,,,,45.20799999999872,32.4417255,-104.14445211,,13320.0,0.0,0.0,284.3130950245433,,,1321,200
1322,13330,57563.656,WELD,,0.219,,,,,,,44.95600000000559,32.44184192,-104.14450207,,13330.0,0.0,0.0,284.3268431216913,,,13330,57945.884,WELD,,0.219,,,,,,,45.18899999999849,32.44184192,-104.14450207,,13330.0,0.0,0.0,284.3268431216913,,,1322,200
1323,13340,57608.612,WELD,,0.219,,,,,,,44.95599999999831,32.44195837,-104.14455191,,13340.0,0.0,0.0,284.34058988875984,,,13340,57991.092,WELD,,0.219,,,,,,,45.20799999999872,32.44195837,-104.14455191,,13340.0,0.0,0.0,284.34058988875984,,,1323,200
1324,13350,57653.58,WELD,,0.219,,,,,,,44.96800000000076,32.44207485,-104.14460187,,13350.0,0.0,0.0,284.3543441257292,,,13350,58036.295,WELD,,0.219,,,,,,,45.20300000000134,32.44207485,-104.14460187,,13350.0,0.0,0.0,284.3543441257292,,,1324,200
1325,13360,57698.547,WELD,,0.219,,,,,,,44.966999999996915,32.44219131,-104.14465175,,13360.0,0.0,0.0,284.3680933815404,,,13360,58081.507,WELD,,0.219,,,,,,,45.211999999999534,32.44219131,-104.14465175,,13360.0,0.0,0.0,284.3680933815404,,,1325,200
40,20000061,57739.147,METAL LOSS,,0.219,0.173,0.448,0.333,288.0,,,,32.44229659,-104.14469667,Int Metal Loss,13370.0,1.327388667775551,4.355999999999767,284.3805164356332,4.635254915624208,-14.265847744427305,,,,,,,,,,,,,,,,,,,,,,1326,0
255,,,,,,,,,,,,,,,,,,,,,,20000057,58122.348,MILL ANOMALY,,,,0.447,1.502,295.0,,,,32.44229659,-104.14469668,Int Metal Loss,13370.0,1.3270685304586096,4.3770000000004075,284.38051680229046,6.3392739261104945,-13.594616805549748,1326,0
1326,13370,57743.503,WELD,,0.219,,,,,,,44.95599999999831,32.44230781,-104.1447015,,13370.0,0.0,0.0,284.3818419643131,,,13370,58126.725,WELD,,0.219,,,,,,,45.21800000000076,32.44230781,-104.1447015,,13370.0,0.0,0.0,284.3818419643131,,,1326,200
1327,13380,57788.449,WELD,,0.219,,,,,,,44.94600000000355,32.4424243,-104.14475117,,13380.0,0.0,0.0,284.3955865896245,,,13380,58171.923,WELD,,0.219,,,,,,,45.19800000000396,32.4424243,-104.14475117,,13380.0,0.0,0.0,284.3955865896245,,,1327,200
1328,13390,57833.409,WELD,,0.28,,,,,,,44.95999999999913,32.44254045,-104.14480216,,13390.0,0.0,0.0,284.40934481138027,,,13390,58217.166,WELD,,0.28,,,,,,,45.242999999994936,32.44254045,-104.14480216,,13390.0,0.0,0.0,284.40934481138027,,,1328,200
1329,13400,57875.42,WELD,,0.219,,,,,,,42.0109999999986,32.44264634,-104.14485697,,13400.0,0.0,0.0,284.4221929193773,,,13400,58259.379,WELD,,0.219,,,,,,,42.213000000003376,32.44264634,-104.14485697,,13400.0,0.0,0.0,284.4221929193773,,,1329,200
1330,13410,57916.757,WELD,,0.219,,,,,,,41.336999999999534,32.44274793,-104.14491778,,13410.0,0.0,0.0,284.4348208874424,,,13410,58300.965,WELD,,0.219,,,,,,,41.58599999999569,32.44274793,-104.14491778,,13410.0,0.0,0.0,284.4348208874424,,,1330,200
1331,13420,57961.713,WELD,,0.219,,,,,,,44.95600000000559,32.44285735,-104.14498639,,13420.0,0.0,0.0,284.44853629510277,,,13420,58346.173,WELD,,0.219,,,,,,,45.208000000005995,32.44285735,-104.14498639,,13420.0,0.0,0.0,284.44853629510277,,,1331,200
1332,13430,58006.647,WELD,,0.219,,,,,,,44.93399999999383,32.4429667,-104.14505498,,13430.0,0.0,0.0,284.4622438070854,,,13430,58391.405,WELD,,0.219,,,,,,,45.23199999999633,32.4429667,-104.14505498,,13430.0,0.0,0.0,284.4622438070854,,,1332,200
1333,13440,58051.593,WELD,,0.219,,,,,,,44.94600000000355,32.44307658,-104.14512249,,13440.0,0.0,0.0,284.4759659699071,,,13440,58436.638,WELD,,0.219,,,,,,,45.233000000000175,32.44307658,-104.14512249,,13440.0,0.0,0.0,284.4759659699071,,,1333,200
