,id_A,feature_A,wc_A,wt_A,depth_in_A,length_in_A,width_in_A,joint_length_A,pressure_1_A,pressure_2_A,us_weld_dist_wc_ft_A,orientation_deg_A,orientation_x_A,orientation_y_A,comments_A,feature_category_A,id_B,feature_B,wc_B,wt_B,depth_in_B,length_in_B,width_in_B,joint_length_B,pressure_1_B,pressure_2_B,us_weld_dist_wc_ft_B,orientation_deg_B,orientation_x_B,orientation_y_B,comments_B,feature_category_B,pipe_section,section_sequence
278,2890,WELD,6159.102,0.0,,,,20.89599999999973,0.0,0.72,20.89599999999973,,,,,,2890,WELD,6190.745,0.0,,,,20.993999999999687,0.0,0.72,20.993999999999687,,,,,,277,-1
1058,,,,,,,,,,,,,,,,,20001088,METAL LOSS,6182.926,0.0,0.113,0.946,1.337,,,,13.175000000000182,121.0,-7.725571123650813,12.857509510531685,Ext Metal Loss,metal loss / mill anomaly,277,0
1059,,,,,,,,,,,,,,,,,20001089,METAL LOSS,6185.737,0.0,0.128,0.906,0.942,,,,15.985999999999876,243.0,-6.809857496093204,-13.365097862825516,Ext Metal Loss,metal loss / mill anomaly,277,1
1060,,,,,,,,,,,,,,,,,20001090,METAL LOSS,6187.355,0.0,0.122,0.697,1.13,,,,17.60399999999936,225.0,-10.606601717798215,-10.606601717798211,Ext Metal Loss,metal loss / mill anomaly,277,2
1061,,,,,,,,,,,,,,,,,20001091,METAL LOSS,6188.691,0.0,0.115,1.626,2.775,,,,18.9399999999996,204.0,-13.703181864639014,-6.101049646137003,Ext Metal Loss,metal loss / mill anomaly,277,3
279,2900,WELD,6180.412,0.0,,,,21.3100000000004,0.0,0.72,21.3100000000004,,,,,,2900,WELD,6212.207,0.0,,,,21.462000000000444,0.0,0.72,21.462000000000444,,,,,,278,-1
280,2910,WELD,6201.219,0.0,,,,20.80699999999979,0.0,0.72,20.80699999999979,,,,,,2910,WELD,6233.135,0.0,,,,20.927999999999884,0.0,0.72,20.927999999999884,,,,,,279,-1
281,2920,WELD,6223.496,0.0,,,,22.277000000000044,0.0,0.72,22.277000000000044,,,,,,2920,WELD,6255.548,0.0,,,,22.412999999999556,0.0,0.72,22.412999999999556,,,,,,280,-1
1062,,,,,,,,,,,,,,,,,20001092,METAL LOSS,6250.416,0.0,0.105,0.976,1.234,,,,17.28099999999995,245.0,-6.3392739261104865,-13.594616805549752,Ext Metal Loss,metal loss / mill anomaly,280,0
1063,,,,,,,,,,,,,,,,,20001093,METAL LOSS,6250.961,0.0,0.209,1.036,1.101,,,,17.826000000000022,119.0,-7.272144303695054,13.119295607090939,Ext Metal Loss,metal loss / mill anomaly,280,1
282,2930,WELD,6243.889,0.0,,,,20.39300000000003,0.0,0.72,20.39300000000003,,,,,,2930,WELD,6276.018,0.0,,,,20.470000000000255,0.0,0.72,20.470000000000255,,,,,,281,-1
1064,,,,,,,,,,,,,,,,,20001094,METAL LOSS,6258.848,0.0,0.158,1.102,0.771,,,,3.300000000000182,10.0,14.772116295183121,2.6047226650039548,Ext Metal Loss,metal loss / mill anomaly,281,0
283,2940,WELD,6264.611,0.0,,,,20.721999999999753,0.0,0.72,20.721999999999753,,,,,,2940,WELD,6296.869,0.0,,,,20.850999999999658,0.0,0.72,20.850999999999658,,,,,,282,-1
284,2950,WELD,6287.955,0.0,,,,23.34400000000005,0.0,0.72,23.34400000000005,,,,,,2950,WELD,6320.373,0.0,,,,23.503999999999905,0.0,0.72,23.503999999999905,,,,,,283,-1
285,2960,WELD,6309.304,0.0,,,,21.34900000000016,0.0,0.72,21.34900000000016,,,,,,2960,WELD,6341.869,0.0,,,,21.496000000000095,0.0,0.72,21.496000000000095,,,,,,284,-1
1065,,,,,,,,,,,,,,,,,20001095,METAL LOSS,6327.201,0.0,0.141,1.441,2.285,,,,6.828000000000429,212.0,-12.720721442346392,-7.948788963498072,Ext Metal Loss,metal loss / mill anomaly,284,0
286,2970,WELD,6332.742,0.0,,,,23.438000000000102,0.0,0.72,23.438000000000102,,,,,,2970,WELD,6365.428,0.0,,,,23.559000000000196,0.0,0.72,23.559000000000196,,,,,,285,-1
78,14000021,DENT,6309.452,0.0,0.42,2.18,3.12,,,,0.14800000000013824,351.0,14.815325108927064,-2.3465169756034667,TDW Correlated Deformation,deformation,,,,,,,,,,,,,,,,,285,0
1066,,,,,,,,,,,,,,,,,14000135,DENT,6342.0,0.0,0.19,2.49,2.47,,,,0.13100000000031287,349.0,14.72440775171496,-2.86213493064817,Dent,dent,285,0
1067,,,,,,,,,,,,,,,,,10000016,LOCATION,6342.065,0.0,,,,,,,0.1959999999999127,350.0,14.772116295183121,-2.6047226650039557,Puddle Weld,puddle weld,285,1
1068,,,,,,,,,,,,,,,,,20001096,METAL LOSS,6365.204,0.0,0.196,0.705,0.64,,,,23.335000000000036,206.0,-13.481910694487503,-6.5755672018361615,Ext Metal Loss,metal loss / mill anomaly,285,2
287,2980,WELD,6353.305,0.0,,,,20.563000000000102,0.0,0.72,20.563000000000102,,,,,,2980,WELD,6386.094,0.0,,,,20.666000000000167,0.0,0.72,20.666000000000167,,,,,,286,-1
