,A,id_A,wc_A,feature_A,us_weld_dist_wc_ft_A,wt_A,depth_in_A,length_in_A,width_in_A,orientation_deg_A,pressure_1_A,pressure_2_A,joint_length_A,lat_A,lng_A,comments_A,us_weld_id_A,feature_category_A,us_weld_dist_coord_m_A,pipe_section_A,section_sequence_A,orientation_x_A,orientation_y_A,h_dist_A,wc_norm_A,B,id_B,wc_B,feature_B,us_weld_dist_wc_ft_B,wt_B,depth_in_B,length_in_B,width_in_B,orientation_deg_B,pressure_1_B,pressure_2_B,joint_length_B,lat_B,lng_B,comments_B,us_weld_id_B,feature_category_B,us_weld_dist_coord_m_B,pipe_section_B,section_sequence_B,orientation_x_B,orientation_y_B,h_dist_B,wc_norm_B,match_score
66,2992,27420,117090.107,WELD,24.12699999999313,0.219,,,,,,,39.5740000000078,32.58568527,-104.22543656,,27430.0,,7.363356620056011,2732,0,,,302.0163884519768,117090.107,3005,27660,117717.648,WELD,24.047000000005937,0.219,,,,,,,39.528999999994994,32.58568527,-104.22543656,,27670.0,,7.363356620056011,2756,0,,,302.0163884519768,117313.17606884861,0.6661991205255523
67,2993,27430,117114.234,WELD,45.03300000001036,0.219,,,,,,,24.12699999999313,32.58575145,-104.22543382,,27440.0,,13.766487441667092,2733,0,,,302.0230521454284,117114.234,3006,27670,117741.695,WELD,44.97299999999814,0.219,,,,,,,24.047000000005937,32.58575145,-104.22543382,,27680.0,,13.766487441667092,2757,0,,,302.0230521454284,117337.14046436231,0.6651912277298695
68,2996,27460,117242.717,WELD,42.062999999994645,0.28,,,,,,,38.369000000006054,32.58610464,-104.22542714,,27470.0,,12.853022800361465,2736,0,,,302.0589084527953,117242.717,3009,27700,117870.059,WELD,42.1310000000085,0.28,,,,,,,38.36499999999069,32.58610464,-104.22542714,,27710.0,,12.853022800361465,2760,0,,,302.0589084527953,117465.06351778764,0.6666629699021746
69,3158,29040,123796.158,WELD,45.0109999999986,0.219,,,,,,,10.218999999997322,32.60412319,-104.22512261,,29050.0,,13.763299012353901,2894,0,,,303.8906277708483,123796.158,3174,29280,124432.722,WELD,45.27700000000186,0.219,,,,,,,10.263999999995576,32.60412319,-104.22512261,,29290.0,,13.763299012353901,2918,0,,,303.8906277708483,124005.18294037883,0.6661991205258545
70,3274,30130,128462.186,WELD,45.021999999997206,0.219,,,,,,,31.081000000005588,32.61674264,-104.22249832,,30140.0,,13.770804139947865,3003,0,,,305.0869170896371,128462.186,3288,30370,129103.282,WELD,45.0570000000007,0.219,,,,,,,31.06600000000617,32.61674264,-104.22249832,,30380.0,,13.770804139947865,3027,0,,,305.0869170896371,128659.69897607615,0.6666146846817402
71,3276,30150,128533.878,WELD,45.044000000008964,0.219,,,,,,,26.669999999998254,32.61693633,-104.22245427,,30160.0,,13.777746681853502,3005,0,,,305.1051566007837,128533.878,3290,30390,129175.047,WELD,45.036999999996624,0.219,,,,,,,26.70799999999872,32.61693633,-104.22245427,,30400.0,,13.777746681853502,3029,0,,,305.1051566007837,128731.21745422477,0.6663331987363691
72,3278,30170,128599.096,WELD,45.03299999999581,0.219,,,,,,,20.17399999999907,32.61711315,-104.22241936,,30180.0,,13.77172721166445,3007,0,,,305.12200098383767,128599.096,3292,30410,129240.243,WELD,45.080999999991036,0.219,,,,,,,20.15899999999965,32.61711315,-104.22241936,,30420.0,,13.77172721166445,3031,0,,,305.12200098383767,128796.18949771918,0.6666146846817402
73,3393,31200,133066.903,WELD,45.021999999997206,0.219,,,,,,,30.293999999994412,32.62899422,-104.22461969,,31210.0,,13.755395564394872,3110,0,,,306.4194967332439,133066.903,3404,31440,133706.077,WELD,45.0800000000163,0.219,,,,,,,30.31999999997788,32.62899422,-104.22461969,,31450.0,,13.755395564394872,3134,0,,,306.4194967332439,133246.68279311896,0.666510514089047
74,3405,31310,133516.729,WELD,45.086999999999534,0.219,,,,,,,30.054999999993015,32.63022767,-104.22451084,,31320.0,,13.787739598859966,3121,0,,,306.5419745317455,133516.729,3416,31550,134155.264,WELD,45.021999999997206,0.219,,,,,,,30.02599999998347,32.63022767,-104.22451084,,31560.0,,13.787739598859966,3145,0,,,306.5419745317455,133694.3267789637,0.6664724110317998
75,3422,31470,134184.349,WELD,22.69700000001467,0.219,,,,,,,39.30099999997765,32.6320556,-104.22432806,,31480.0,,6.940358693682479,3137,0,,,306.72272750021784,134184.349,3432,31710,134822.63,WELD,22.687000000005355,0.219,,,,,,,39.220000000001164,32.6320556,-104.22432806,,31720.0,,6.940358693682479,3161,0,,,306.72272750021784,134359.40029234948,0.6651541955520678
76,3423,31480,134207.046,WELD,21.888000000006286,0.219,,,,,,,22.69700000001467,32.63211801,-104.2243291,,31490.0,,6.692829186083679,3138,0,,,306.72916338808494,134207.046,3433,31720,134845.317,WELD,21.853000000002794,0.219,,,,,,,22.687000000005355,32.63211801,-104.2243291,,31730.0,,6.692829186083679,3162,0,,,306.72916338808494,134382.00935963518,0.6666435625613415
77,3424,31490,134228.934,WELD,45.10999999998603,0.219,,,,,,,21.888000000006286,32.6321782,-104.224329,,31500.0,,13.79441749724575,3139,0,,,306.7353303658882,134228.934,3435,31730,134867.17,WELD,44.96799999999348,0.219,,,,,,,21.853000000002794,32.6321782,-104.224329,,31740.0,,13.79441749724575,3163,0,,,306.7353303658882,134403.78729181635,0.666383751697179
78,3957,36510,155917.021,WELD,45.054000000003725,0.219,,,,,,,22.69700000001467,32.68410453,-104.25422648,,36520.0,,13.766356369945461,3641,0,,,313.1428603835148,155917.021,3967,36750,156563.958,WELD,45.064999999973224,0.219,,,,,,,22.75600000002305,32.68410453,-104.25422648,,36760.0,,13.766356369945461,3665,0,,,313.1428603835148,156026.04408096513,0.6658633544117708
79,3969,36630,156407.665,WELD,45.03299999999581,0.219,,,,,,,32.70699999999488,32.68527764,-104.25501023,,36640.0,,13.742500724052707,3653,0,,,313.2915548582404,156407.665,3979,36870,157054.378,WELD,44.904000000009546,0.219,,,,,,,32.69099999999162,32.68527764,-104.25501023,,36880.0,,13.742500724052707,3677,0,,,313.2915548582404,156514.77942623993,0.6666075233547525
80,929,8600,36833.397,WELD,44.93500000000495,0.219,,,,,,,36.43000000000029,32.39460029,-104.10683542,,8610.0,,13.75802929416128,850,0,,,278.11274188263656,36833.397,930,8600,37085.291,WELD,45.25200000000041,0.219,,,,,,,36.6820000000007,32.39460029,-104.10683542,,8610.0,,13.75802929416128,850,0,,,278.11274188263656,36957.80141301026,0.6523123658253978
81,970,9000,38599.364,WELD,0.9349999999976717,0.219,,,,,,,19.601000000002387,32.39858356,-104.11013714,,9010.0,,0.28606104996654286,890,0,,,278.6410699482194,38599.364,972,9000,38862.743,WELD,0.9309999999968568,0.219,,,,,,,19.742000000005646,32.39858356,-104.11013714,,9010.0,,0.28606104996654286,890,0,,,278.6410699482194,38729.147640589494,0.6621046855912124
82,973,9020,38624.73,WELD,44.95599999999831,0.219,,,,,,,24.431000000004133,32.39864089,-104.11018437,,9030.0,,13.764260043638952,892,0,,,278.648663789265,38624.73,975,9020,38888.214,WELD,45.23200000000361,0.219,,,,,,,24.540000000000873,32.39864089,-104.11018437,,9030.0,,13.764260043638952,892,0,,,278.648663789265,38754.53114448309,0.6639328451285289
83,1070,9950,42737.111,WELD,44.94600000000355,0.219,,,,,,,35.949000000000524,32.40791034,-104.11788197,,9960.0,,13.759868402008898,985,0,,,279.87882623259776,42737.111,1071,9950,43028.559,WELD,45.233000000000175,0.219,,,,,,,36.175999999999476,32.40791034,-104.11788197,,9960.0,,13.759868402008898,985,0,,,279.87882623259776,42880.65353576366,0.6549710502015543
84,1072,9970,42809.306,WELD,44.88000000000466,0.219,,,,,,,27.24899999999616,32.40807387,-104.1180157,,9980.0,,13.731552596897652,987,0,,,279.9004553927679,42809.306,1073,9970,43101.202,WELD,45.15500000000611,0.219,,,,,,,27.409999999996217,32.40807387,-104.1180157,,9980.0,,13.731552596897652,987,0,,,279.9004553927679,42953.04699787123,0.6607311257839669
85,1080,10050,43154.568,WELD,44.9230000000025,0.219,,,,,,,30.709999999999127,32.40885293,-104.11866019,,10060.0,,13.74785105674342,995,0,,,280.0037674456827,43154.568,1081,10050,43448.733,WELD,45.25699999999779,0.219,,,,,,,30.91399999999703,32.40885293,-104.11866019,,10060.0,,13.74785105674342,995,0,,,280.0037674456827,43299.384184932715,0.6571886871425655
86,1236,11540,49694.057,WELD,27.82800000000134,0.219,,,,,,,25.19600000000355,32.42363908,-104.13081327,,11550.0,,8.51286121445226,1144,0,,,281.9620058132168,49694.057,1235,11540,50029.576,WELD,28.02799999999843,0.219,,,,,,,25.347999999998137,32.42363908,-104.13081327,,11550.0,,8.51286121445226,1144,0,,,281.9620058132168,49857.6211569247,0.6613710258055113
87,1237,11550,49721.885,WELD,44.95599999999831,0.219,,,,,,,27.82800000000134,32.42370177,-104.13086533,,11560.0,,13.751853826974827,1145,0,,,281.9703290373171,49721.885,1236,11550,50057.604,WELD,45.25200000000041,0.219,,,,,,,28.02799999999843,32.42370177,-104.13086533,,11560.0,,13.751853826974827,1145,0,,,281.9703290373171,49885.5528771999,0.6575516491376902
88,1291,12090,52115.608,WELD,39.05000000000291,0.219,,,,,,,23.52599999999802,32.4291176,-104.13530347,,12100.0,,11.943309698953204,1199,0,,,282.6872467189867,52115.608,1290,12090,52466.352,WELD,39.27399999999761,0.219,,,,,,,23.67899999999645,32.4291176,-104.13530347,,12100.0,,11.943309698953204,1199,0,,,282.6872467189867,52286.02652317682,0.6613016827229069
89,1292,12100,52154.658,WELD,6.189999999995052,0.219,,,,,,,39.05000000000291,32.4292054,-104.13537677,,12110.0,,1.8933244234297992,1200,0,,,282.69891921565124,52154.658,1291,12100,52505.626,WELD,6.239000000001397,0.219,,,,,,,39.27399999999761,32.4292054,-104.13537677,,12110.0,,1.8933244234297992,1200,0,,,282.69891921565124,52325.16561201969,0.6552728325901181
90,1319,12340,53175.336,WELD,45.02100000000064,0.219,,,,,,,24.935000000004948,32.4315142,-104.13726958,,12350.0,,13.773662419060202,1224,0,,,283.0045981794434,53175.336,1317,12340,53532.21,WELD,45.262000000002445,0.219,,,,,,,25.068999999995867,32.4315142,-104.13726958,,12350.0,,13.773662419060202,1224,0,,,283.0045981794434,53348.22316614391,0.6625436607424903
